File:,D:\rfi_data\C3_OMU.DAT,,,,,,,
,,,,,,,,
System Parameter ,,,,,,,,
Ref Level,-40.00,Ref Offset,0,Center Freq.,200000000,Span,200000000,
Start Freq.,100000000,Stop Freq.,300000000,VBW,300000,VBW Flag,Manual,
RBW,300000,RBW Flag,Manual,VBW/RBW,1,VBW/RBW Flag,Auto,
Sweep Time,0.04,Sweep Time Flag,Manual,Attenuation,0,Attenuation Flag,Manual,
Scale DIV,10,Scale Type,LOG,Sweep Mode,Normal,Preamp,On,
PSD Mode,Off,,,,,,,
Sweep Type,Continue,Average Type,Power,,,,,
,,,,,,,,
Trace Parameter,,,,,,,,
Trace1,,Trace2,,Trace3,,Trace4,,
Mode,Clear Write,Mode,Blank,Mode,Blank,Mode,Blank,
Detector,Pos Peak,Detector,Pos Peak,Detector,Pos Peak,Detector,Pos Peak,
,,,,,,,,
Trace Data,,,,,,,,
Trace1 X,Trace1 Y,Trace2 X,Trace2 Y,Trace3 X,Trace3 Y,Trace4 X,Trace4 Y,
100000000,-80.1867,,,,,,,
100434783,-94.3483,,,,,,,
100869565,-99.2904,,,,,,,
101304348,-52.1314,,,,,,,
101739130,-43.8446,,,,,,,
102173913,-57.1562,,,,,,,
102608696,-96.2798,,,,,,,
103043478,-92.9917,,,,,,,
103478261,-99.9769,,,,,,,
103913043,-92.6581,,,,,,,
104347826,-100.5357,,,,,,,
104782609,-95.2019,,,,,,,
105217391,-97.8278,,,,,,,
105652174,-100.8671,,,,,,,
106086957,-99.2968,,,,,,,
106521739,-100.0661,,,,,,,
106956522,-100.8883,,,,,,,
107391304,-95.8501,,,,,,,
107826087,-89.7952,,,,,,,
108260870,-97.4376,,,,,,,
108695652,-99.4147,,,,,,,
109130435,-98.5093,,,,,,,
109565217,-83.8247,,,,,,,
110000000,-79.4962,,,,,,,
110434783,-95.9999,,,,,,,
110869565,-93.2059,,,,,,,
111304348,-98.0821,,,,,,,
111739130,-99.8471,,,,,,,
112173913,-99.1092,,,,,,,
112608696,-101.2874,,,,,,,
113043478,-98.8589,,,,,,,
113478261,-99.8362,,,,,,,
113913043,-93.5042,,,,,,,
114347826,-99.5434,,,,,,,
114782609,-98.5134,,,,,,,
115217391,-100.5093,,,,,,,
115652174,-99.5757,,,,,,,
116086957,-100.1823,,,,,,,
116521739,-96.8078,,,,,,,
116956522,-90.5706,,,,,,,
117391304,-98.7183,,,,,,,
117826087,-101.6020,,,,,,,
118260870,-101.8182,,,,,,,
118695652,-100.9565,,,,,,,
119130435,-101.9772,,,,,,,
119565217,-92.4725,,,,,,,
120000000,-86.5114,,,,,,,
120434783,-101.6747,,,,,,,
120869565,-101.1136,,,,,,,
121304348,-103.0010,,,,,,,
121739130,-103.4214,,,,,,,
122173913,-101.5978,,,,,,,
122608696,-96.5206,,,,,,,
